source,target,weight
129057534,131188226,43
129057534,147994804,31
129057534,158588740,15
129057534,17741799,21
129057534,1934388686,30
129057534,249520655,22
129057534,28082599,39
129057534,285655507,16
129057534,318673863,33
129057534,390677061,65
129057534,77509999,29
131188226,158588740,36
131188226,17741799,74
131188226,1934388686,99
131188226,28082599,57
131188226,797720168713441280,134
147994804,158588740,17
147994804,17741799,41
147994804,1934388686,52
147994804,28082599,34
147994804,285655507,55
147994804,390677061,135
147994804,797720168713441280,113
158588740,17741799,7
158588740,18839785,151
158588740,1934388686,9
158588740,249520655,7
158588740,28082599,12
158588740,285655507,15
158588740,318673863,27
158588740,390677061,42
158588740,77509999,21
158588740,797720168713441280,29
17741799,249520655,26
17741799,285655507,32
1934388686,249520655,37
1934388686,285655507,44
1934388686,318673863,78
1934388686,390677061,158
1934388686,77509999,44
1934388686,797720168713441280,91
249520655,28082599,19
249520655,285655507,45
249520655,390677061,69
249520655,797720168713441280,56
28082599,285655507,24
28082599,318673863,33
28082599,77509999,19
28082599,797720168713441280,35
285655507,318673863,87
285655507,77509999,24
77509999,797720168713441280,62
1065563383,1289235667516456962,33
1065563383,390677061,237
1289235667516456962,390677061,99
131188226,54936590,15
131188226,804003606001106944,12
18839785,54936590,94
18839785,804003606001106944,66
390677061,54936590,26
390677061,804003606001106944,19
54936590,61121030,13
54936590,804003606001106944,2
61121030,804003606001106944,3
1065563383,285655507,52
1065563383,42043572,14
18839785,42043572,91
285655507,42043572,8
42043572,75193964,32
146360682,3018719294,3
111872402,120649992,1
111872402,17741799,1
111872402,18839785,22
111872402,283632721,1
111872402,390677061,7
111872402,52119862,2
111872402,77509999,1
120649992,17741799,15
120649992,283632721,6
120649992,390677061,30
120649992,77509999,14
17741799,283632721,6
283632721,52119862,4
283632721,77509999,14
1368737382,207809313,104
1065563383,1642669674,44
1065563383,735095544,77
1065563383,77732185,24
1065563383,937664212511309827,16
1368737382,1642669674,37
1368737382,77732185,16
137656171,1642669674,23
137656171,735095544,31
137656171,77732185,12
1642669674,18839785,157
1642669674,355989081,88
1642669674,735095544,24
1642669674,75193964,44
1642669674,77732185,10
1642669674,937664212511309827,8
355989081,77732185,54
735095544,75193964,40
735095544,77732185,16
735095544,937664212511309827,7
75193964,77732185,11
77732185,937664212511309827,7
158588740,171355391,5
158588740,2166444230,10
158588740,332188446,30
171355391,18839785,131
171355391,2166444230,4
171355391,332188446,7
18839785,2166444230,76
2166444230,332188446,12
122959195,18839785,230
122959195,50279781,19
18839785,50279781,48
42043572,77509999,10
18839785,258370261,121
18839785,775921502642241536,34
285655507,775921502642241536,2
18839785,856530759116402690,19
1065563383,108391251,9
1065563383,1100927498,32
1065563383,113568312,10
1065563383,129057534,40
1065563383,1324334436,103
1065563383,146360682,139
1065563383,158588740,24
1065563383,160509668,14
1065563383,16404141,14
1065563383,207809313,153
1065563383,2166444230,20
1065563383,2289628938,13
1065563383,245687754,15
1065563383,2570829264,8
1065563383,258370261,29
1065563383,29398579,12
1065563383,332188446,39
1065563383,337065278,16
1065563383,39743812,30
1065563383,54936590,21
1065563383,61121030,70
1065563383,725003596811620353,10
108391251,1100927498,11
108391251,113568312,1
108391251,1289235667516456962,28
108391251,129057534,7
108391251,1324334436,8
108391251,1368737382,5
108391251,146360682,13
108391251,147994804,25
108391251,158588740,17
108391251,160509668,2
108391251,16404141,6
108391251,18839785,123
108391251,207809313,10
108391251,2166444230,7
108391251,2289628938,2
108391251,245687754,2
108391251,2570829264,1
108391251,258370261,2
108391251,28082599,9
108391251,285655507,9
108391251,29398579,10
108391251,332188446,25
108391251,337065278,2
108391251,355989081,75
108391251,39743812,3
108391251,54936590,2
108391251,61121030,5
108391251,635895185,26
108391251,725003596811620353,1
1100927498,113568312,6
1100927498,1289235667516456962,14
1100927498,129057534,13
1100927498,1324334436,38
1100927498,1368737382,22
1100927498,147994804,16
1100927498,158588740,12
1100927498,160509668,4
1100927498,16404141,4
1100927498,207809313,43
1100927498,2166444230,12
1100927498,2289628938,7
1100927498,245687754,8
1100927498,2570829264,7
1100927498,258370261,7
1100927498,285655507,13
1100927498,29398579,6
1100927498,332188446,17
1100927498,337065278,6
1100927498,54936590,7
1100927498,635895185,19
1100927498,725003596811620353,4
113568312,1289235667516456962,2
113568312,129057534,5
113568312,1324334436,5
113568312,1368737382,4
113568312,146360682,4
113568312,147994804,4
113568312,158588740,3
113568312,160509668,1
113568312,16404141,1
113568312,18839785,35
113568312,207809313,4
113568312,2166444230,2
